"SUBJ","X","Y"
341,105,172
342,88,128
343,91,148
344,121,185
345,85,127
346,89,121
347,80,133
348,117,171
349,110,156
350,95,139
351,109,163
352,117,197
353,91,127
354,103,163
355,102,171
356,110,164
357,108,176
358,105,162
359,90,132
360,80,120
361,105,164
362,107,166
363,89,142
364,100,178
365,113,168
366,109,144
367,98,164
368,112,175
369,110,154
370,110,159
371,103,137
372,89,121
373,109,155
374,102,176
375,129,187
376,94,133
377,93,147
378,77,123
379,98,156
380,115,166
381,90,152
382,108,138
383,90,161
384,95,149
385,88,122
386,96,162
387,90,134
388,96,146
389,101,139
390,84,120
391,103,142
392,105,155
393,102,152
394,99,155
395,122,180
396,99,142
397,100,154
398,98,142
399,120,169
400,118,183
401,97,147
402,100,159
403,94,138
404,89,126
405,96,165
406,95,162
407,117,191
408,103,163
409,95,138
410,95,158
411,98,151
412,110,174
413,120,170
414,95,160
415,107,155
416,101,152
417,81,121
418,86,129
419,95,150
420,94,123
421,107,161
422,97,163
423,105,160
424,93,128
425,120,180
426,91,137
427,109,165
428,112,161
429,103,134
430,94,128
431,102,152
432,111,169
433,80,123
434,102,156
435,117,178
436,113,159
437,93,146
438,101,139
439,95,160
440,100,147
441,90,143
442,102,153
443,108,167
444,94,138
445,87,131
446,99,156
447,121,179
448,84,127
449,107,158
450,99,154
451,93,153
452,95,133
453,96,140
454,96,144
455,103,147
456,86,145
457,106,150
458,104,161
459,92,144
460,113,174
461,92,138
462,99,151
463,101,174
464,94,120
465,98,144
466,100,145
467,119,171
468,101,166
469,102,165
470,101,150
471,93,145
472,100,168
473,100,137
474,97,157
475,92,135
476,100,152
477,98,163
478,109,172
479,85,141
480,110,167
481,99,142
482,91,140
483,103,155
484,96,150
485,87,145
486,81,143
487,120,200
488,95,144
489,91,137
490,105,157
491,107,138
492,86,143
493,81,129
494,113,187
495,99,163
496,100,158
497,83,126
498,97,145
499,108,146
500,113,197
501,107,150
502,92,128
503,100,137
504,105,158
505,104,163
506,90,156
507,97,144
508,98,134
509,113,186
510,87,126
511,107,167
512,104,171
513,89,143
514,90,126
515,98,146
516,113,156
517,96,142
518,96,154
519,82,123
520,89,147
521,103,157
522,118,173
523,102,162
524,100,152
525,115,187
526,104,171
527,113,178
528,98,163
529,108,191
530,94,164
531,101,160
532,100,166
533,80,143
534,120,191
535,101,143
536,105,159
537,101,146
538,120,175
539,99,145
540,108,149
541,86,132
542,83,139
543,94,147
544,90,134
545,105,182
546,92,154
547,96,159
548,119,157
549,108,157
550,103,157
551,88,139
552,110,155
553,103,160
554,107,182
555,105,156
556,117,165
557,100,154
558,96,145
559,108,159
560,97,162
561,100,152
562,104,164
563,110,146
564,104,163
565,106,161
566,102,133
567,101,169
568,87,157
569,117,169
570,96,150
571,102,155
572,108,140
573,97,152
574,99,157
575,92,149
576,84,124
577,108,152
578,93,162
579,92,154
580,96,137
581,95,131
582,96,155
583,100,166
584,94,132
585,100,150
586,97,143
587,103,174
588,88,145
589,99,139
590,105,139
591,108,158
592,90,147
593,115,194
594,96,138
595,105,150
596,103,150
597,102,149
598,103,165
599,80,125
600,96,146
601,114,173
602,124,182
603,110,166
604,80,126
605,98,147
606,97,137
607,107,144
608,108,161
609,106,168
610,93,137
611,114,180
612,84,126
613,111,158
614,91,126
615,97,145
616,98,127
617,101,151
618,113,164
619,120,177
620,90,129
621,95,148
622,114,159
623,102,159
624,109,151
625,94,143
626,93,132
627,120,165
628,101,141
629,90,146
630,92,137
631,107,156
632,113,169
633,87,127
634,115,183
635,94,156
636,103,156
637,101,156
638,110,173
639,98,152
640,80,135
641,84,136
642,105,153
643,83,144
644,108,156
645,109,153
646,112,172
647,107,150
648,97,129
649,115,160
650,95,134
651,99,164
652,103,135
653,103,150
654,101,154
655,106,126
656,114,161
657,107,174
658,99,151
659,88,144
660,108,160
661,113,179
662,97,130
663,115,150
664,101,160
665,92,122
666,104,157
667,102,130
668,84,146
669,119,171
670,95,135
671,115,173
672,116,154
673,80,126
674,107,168
675,97,144
676,84,136
677,93,135
678,99,148
679,97,155
680,101,164
681,119,171
682,92,147
683,95,139
684,88,122
685,92,137
686,96,151
687,88,131
688,102,164
689,93,144
690,97,137
691,90,148
692,93,155
693,97,156
694,121,183
695,90,136
696,111,147
697,87,134
698,108,189
699,104,172
700,120,171
701,94,148
702,114,158
703,111,166
704,96,143
705,101,143
706,102,153
707,102,148
708,109,155
709,114,166
710,101,140
711,90,133
712,84,140
713,101,177
714,89,155
715,97,174
716,87,159
717,120,167
718,88,149
719,99,136
720,100,171
721,115,159
722,98,148
723,96,167
724,85,136
725,103,160
726,108,169
727,104,147
728,92,136
729,95,142
730,94,133
731,100,147
732,92,128
733,90,140
734,86,142
735,91,123
736,117,159
737,114,151
738,113,160
739,92,149
740,106,160
741,112,178
742,104,168
743,103,151
744,80,124
745,92,141
746,98,165
747,106,159
748,90,125
749,97,148
750,106,158
751,103,151
752,101,129
753,81,125
754,97,150
755,89,128
756,97,164
757,90,123
758,108,148
759,107,172
760,87,121
761,89,125
762,97,149
763,108,151
764,109,158
765,98,143
766,111,145
767,88,141
768,116,173
769,111,160
770,94,136
771,95,165
772,103,166
773,93,134
774,92,120
775,119,155
776,113,186
777,99,152
778,88,124
779,104,137
780,99,141
781,111,170
782,94,150
783,115,140
784,93,151
785,99,143
786,102,158
787,81,120
788,108,173
789,98,139
790,103,165
791,91,131
792,119,189
793,88,139
794,101,162
795,85,127
796,111,146
797,105,154
798,83,125
799,96,144
800,119,195
801,117,174
802,119,165
803,104,149
804,105,158
805,109,171
806,91,145
807,93,123
808,117,155
809,114,150
810,101,157
811,93,150
812,104,178
813,87,132
814,87,142
815,94,147
816,103,141
817,103,151
818,84,123
819,123,143
820,99,132
821,83,125
822,101,153
823,92,144
824,89,124
825,113,177
826,90,151
827,107,155
828,96,143
829,98,157
830,120,179
831,87,154
832,114,157
833,110,172
834,97,135
835,101,153
836,91,143
837,101,164
838,110,164
839,112,172
840,97,144
841,100,146
842,96,158
843,106,155
844,98,149
845,120,159
846,120,175
847,101,143
848,97,139
849,95,125
850,106,170
851,99,150
852,98,129
853,97,152
854,120,172
855,81,148
856,108,147
857,89,157
858,89,138
859,99,146
860,86,150
861,109,153
862,90,141
863,91,139
864,103,151
865,104,166
866,96,127
867,115,177
868,88,132
869,93,148
870,95,139
871,111,179
872,97,144
873,99,141
874,107,171
875,94,134
876,117,191
877,108,161
878,86,145
879,111,165
880,97,153
881,99,171
882,111,163
883,113,171
884,100,146
885,90,141
886,99,146
887,94,131
888,74,132
889,91,148
890,99,141
891,97,142
892,99,154
893,107,161
894,114,159
895,94,134
896,88,157
897,81,120
898,80,128
899,102,156
900,118,191
901,111,181
902,91,130
903,84,130
904,84,126
905,98,154
906,111,157
907,100,148
908,120,175
909,112,179
910,80,126
911,82,142
912,106,143
913,80,129
914,107,177
915,91,131
916,86,137
917,108,150
918,98,150
919,113,168
920,99,131
921,109,161
922,109,153
923,104,155
924,107,170
925,105,172
926,110,127
927,103,171
928,100,144
929,94,120
930,100,177
931,99,146
932,104,180
933,108,163
934,107,162
935,90,144
936,99,178
937,118,181
938,83,137
939,105,152
940,94,151
941,85,135
942,93,137
943,86,156
944,104,144
945,89,144
946,120,166
947,99,163
948,95,140
949,91,134
950,97,145
951,110,145
952,104,187
953,102,145
954,97,144
955,116,152
956,99,160
957,80,124
958,111,168
959,102,156
960,91,135
961,115,179
962,97,154
963,108,152
964,93,155
965,101,140
966,86,125
967,112,179
968,98,139
969,99,149
970,108,154
971,109,169
972,104,171
973,93,162
974,103,145
975,102,152
976,101,160
977,93,142
978,99,146
979,112,152
980,102,154
981,115,153
982,105,152
983,102,148
984,108,162
985,106,163
986,111,175
987,93,127
988,110,174
989,101,141
990,117,194
991,105,145
992,92,125
993,97,147
994,111,157
995,105,142
996,106,167
997,103,146
998,80,126
999,104,161
1000,101,171
1001,113,172
1002,105,145
1003,85,120
1004,93,155
1005,85,137
1006,94,143
1007,106,149
1008,92,127
1009,104,164
1010,103,167
1011,106,154
1012,103,158
1013,116,165
1014,107,142
1015,101,139
1016,112,161
1017,101,146
1018,106,171
1019,112,162
1020,107,157
1021,82,140
1022,95,128
1023,108,148
1024,92,126
1025,82,122
1026,94,151
1027,106,156
1028,102,164
1029,113,170
1030,103,160
1031,107,163
1032,95,134
1033,101,159
1034,116,159
1035,90,141
1036,92,132
1037,114,172
1038,100,153
1039,85,129
1040,105,164
1041,89,122
1042,95,128
1043,108,162
1044,103,145
1045,95,147
1046,97,142
1047,93,130
1048,93,135
1049,101,170
1050,118,189
